Group,Levels,SubjectID,Run,A_C1W1T0,A_C2W1T0,L_C1W1T0,L_C2W1T0,A_C1W2T0,A_C2W2T0,L_C1W2T0,L_C2W2T0,A_C1W3T0,A_C2W3T0,L_C1W3T0,L_C2W3T0,A_C1W4T0,A_C2W4T0,L_C1W4T0,L_C2W4T0,A_C1W5T0,A_C2W5T0,L_C1W5T0,L_C2W5T0,lC_C1W1T0,cC_C1W1T0,rC_C1W1T0,lC_C1W2T0,cC_C1W2T0,rC_C1W2T0,lC_C1W3T0,cC_C1W3T0,rC_C1W3T0,lC_C1W4T0,cC_C1W4T0,rC_C1W4T0,lC_C1W5T0,cC_C1W5T0,rC_C1W5T0,lC_C2W1T0,cC_C2W1T0,rC_C2W1T0,lC_C2W2T0,cC_C2W2T0,rC_C2W2T0,lC_C2W3T0,cC_C2W3T0,rC_C2W3T0,lC_C2W4T0,cC_C2W4T0,rC_C2W4T0,lC_C2W5T0,cC_C2W5T0,rC_C2W5T0,A_C1W1T2,A_C2W1T2,L_C1W1T2,L_C2W1T2,A_C1W2T2,A_C2W2T2,L_C1W2T2,L_C2W2T2,A_C1W3T2,A_C2W3T2,L_C1W3T2,L_C2W3T2,A_C1W4T2,A_C2W4T2,L_C1W4T2,L_C2W4T2,A_C1W5T2,A_C2W5T2,L_C1W5T2,L_C2W5T2,lC_C1W1T2,cC_C1W1T2,rC_C1W1T2,lC_C1W2T2,cC_C1W2T2,rC_C1W2T2,lC_C1W3T2,cC_C1W3T2,rC_C1W3T2,lC_C1W4T2,cC_C1W4T2,rC_C1W4T2,lC_C1W5T2,cC_C1W5T2,rC_C1W5T2,lC_C2W1T2,cC_C2W1T2,rC_C2W1T2,lC_C2W2T2,cC_C2W2T2,rC_C2W2T2,lC_C2W3T2,cC_C2W3T2,rC_C2W3T2,lC_C2W4T2,cC_C2W4T2,rC_C2W4T2,lC_C2W5T2,cC_C2W5T2,rC_C2W5T2 
96db,70_90,20409-3,1,5.16E-06,8.27E-06,1.270491803,11.10655738,9.37E-06,1.36E-05,2.008196721,11.8442623,7.79E-06,1.09E-05,2.745901639,12.62295082,1.92E-06,3.85E-06,3.893442623,13.7704918,1.20E-06,6.57E-07,5.614754098,14.67213115,0.000119548,0.000204544,5.10E-05,0.000243346,0.00052525,0.000245334,0.000216532,0.000292817,0.000144332,4.97E-05,3.76E-05,3.07E-05,1.14E-05,2.58E-05,1.31E-05,6.12E-05,0.000338819,0.000191702,0.000232135,0.000756674,0.000519953,0.000261219,0.000270448,0.000203527,0.000133531,8.42E-05,5.44E-05,6.56E-05,4.57E-05,1.56E-06,2.47E-06,4.25E-06,1.229508197,11.10655738,7.07E-06,1.02E-05,1.967213115,11.80327869,5.45E-06,8.52E-06,2.704918033,12.58196721,1.86E-06,2.64E-06,3.68852459,13.56557377,7.13E-07,1.57E-06,5.491803279,14.63114754,2.28E-05,0.000108505,7.21E-05,8.40E-05,0.000369061,0.000215545,0.000195879,0.000159669,6.46E-05,6.18E-05,6.29E-05,4.01E-05,7.23E-06,2.65E-05,1.62E-05,3.70E-05,0.000193526,0.000103023,1.39E-05,0.000546847,0.000514111,0.000178084,0.000237421,0.000216177,0.000104957,0.000100217,6.57E-05,5.88E-05,6.11E-05,3.57E-05
96db,90_90,20409-3,1,7.37E-06,7.29E-06,1.229508197,11.14754098,1.15E-05,1.11E-05,1.967213115,11.8852459,8.87E-06,1.06E-05,2.786885246,12.74590164,2.22E-06,2.69E-06,3.893442623,13.93442623,3.38E-07,,4.918032787,14.79508197,0.00011678,0.000293584,7.76E-05,0.000196646,0.000580406,0.000446898,0.000191182,0.000202253,0.00020466,0.000114925,9.18E-05,5.13E-05,2.72E-05,2.68E-05,1.42E-05,0.000112193,0.000288099,0.00010439,0.000140857,0.000542445,0.000453817,0.000246316,0.000267931,0.000187865,4.29E-05,6.27E-05,6.05E-05,5.53E-05,3.18E-05,2.05E-06,3.63E-06,2.96E-06,1.229508197,11.14754098,8.80E-06,8.49E-06,1.967213115,11.8852459,7.17E-06,9.39E-06,2.786885246,12.70491803,1.57E-06,1.65E-06,3.770491803,13.81147541,1.08E-06,9.38E-07,4.836065574,14.83606557,6.09E-05,0.000156539,3.02E-05,0.000153322,0.000534267,0.000285104,8.96E-05,0.000178412,0.000210166,0.000104855,6.15E-05,1.42E-05,4.10E-05,5.10E-05,2.33E-05,4.98E-05,0.000132101,3.98E-05,8.26E-05,0.000418607,0.000328534,0.000112622,0.000242328,0.000220882,3.34E-05,3.51E-05,4.36E-05,3.21E-05,2.80E-05,2.46E-05
96db,70_70,20411-2,1,5.85E-06,6.27E-06,1.31147541,11.2295082,8.35E-06,8.81E-06,2.090163934,12.00819672,6.00E-06,6.77E-06,2.868852459,12.78688525,2.64E-06,3.03E-06,4.016393443,13.97540984,4.66E-07,1.54E-06,5.327868852,14.91803279,9.82E-05,0.000245053,0.000129259,0.000145959,0.000408571,0.000309535,0.000221103,0.000274864,6.36E-05,6.12E-05,8.73E-05,6.41E-05,8.10E-06,1.93E-05,1.47E-05,0.000120605,0.000279128,0.000149229,0.000160438,0.00045908,0.000340789,0.000260201,0.000281964,6.98E-05,4.78E-05,8.97E-05,7.36E-05,4.28E-05,4.74E-05,3.07E-05,2.50E-06,3.27E-06,1.31147541,11.18852459,6.38E-06,6.93E-06,2.090163934,12.00819672,3.95E-06,4.69E-06,2.868852459,12.78688525,1.99E-06,1.98E-06,3.93442623,13.93442623,2.96E-07,2.20E-07,5.204918033,14.95901639,4.76E-05,0.000122628,5.95E-05,9.74E-05,0.000256418,0.000195582,0.000106903,0.000108495,6.38E-05,3.95E-05,4.57E-05,5.07E-05,2.45E-05,3.13E-05,3.60E-06,1.17E-05,0.000131456,0.000113042,0.00012537,0.000269907,0.000184157,0.000128536,0.000142363,0.000103467,3.74E-05,7.44E-05,4.14E-05,2.42E-05,1.28E-05,5.04E-07
96db,70_90,20411-2,1,5.19E-06,7.41E-06,1.270491803,11.10655738,7.97E-06,1.07E-05,2.008196721,11.8442623,6.25E-06,8.84E-06,2.704918033,12.62295082,2.70E-06,3.82E-06,3.81147541,13.68852459,9.70E-07,4.47E-07,5.655737705,15,0.000111303,0.000242247,9.69E-05,0.00017476,0.000424702,0.000253989,0.000106792,0.000261027,0.000131604,5.79E-05,8.70E-05,7.46E-05,1.05E-05,2.87E-05,1.68E-05,7.62E-05,0.000332638,0.000196418,0.00012336,0.000550139,0.000492754,0.000261304,0.000284776,0.000113022,0.000144146,0.000139287,6.38E-05,5.73E-06,1.63E-05,5.36E-06,2.00E-06,3.46E-06,1.270491803,11.10655738,5.64E-06,7.00E-06,2.008196721,11.8442623,2.92E-06,6.42E-06,2.745901639,12.62295082,1.82E-06,1.61E-06,3.729508197,13.64754098,4.72E-07,3.17E-07,5.409836066,15.32786885,4.18E-05,9.13E-05,5.11E-05,0.000107176,0.000243449,0.000158947,8.68E-05,0.000106622,6.42E-05,5.88E-05,4.05E-05,4.54E-05,1.56E-05,2.13E-05,1.11E-05,4.96E-05,0.00015589,7.63E-05,0.000109858,0.000306228,0.000253698,0.00015142,0.000222687,0.000136198,6.03E-05,6.51E-05,4.06E-05,6.17E-06,2.88E-05,1.26E-06
96db,90_90,20411-2,1,7.20E-06,6.34E-06,1.229508197,11.14754098,1.08E-05,9.01E-06,2.008196721,11.92622951,8.56E-06,9.22E-06,2.786885246,12.74590164,3.68E-06,2.81E-06,3.852459016,13.81147541,8.35E-07,3.36E-07,5.040983607,14.79508197,9.44E-05,0.000323772,0.000147017,0.000248889,0.000576486,0.000363257,0.000205539,0.000248535,9.11E-05,0.000120983,0.000161211,0.000101737,1.25E-05,2.95E-05,1.19E-05,0.000108298,0.000282408,0.000160584,0.000103731,0.000425327,0.000359485,0.000194107,0.00022905,0.000163429,0.000109248,0.000100932,5.20E-05,4.38E-05,2.13E-05,1.95E-06,3.53E-06,2.67E-06,1.229508197,11.14754098,6.88E-06,6.12E-06,1.967213115,11.92622951,5.69E-06,6.93E-06,2.786885246,12.74590164,7.94E-07,1.71E-06,3.852459016,13.81147541,6.83E-07,6.36E-07,4.959016393,15.08196721,5.65E-05,0.000164602,6.10E-05,9.75E-05,0.000297305,0.000268642,9.58E-05,0.000206647,0.000148302,3.00E-05,3.69E-05,2.65E-05,4.73E-05,3.30E-05,6.74E-06,6.60E-05,0.000136189,5.19E-05,5.68E-05,0.000153568,0.000168555,0.000144075,0.000248372,0.000211076,5.14E-05,6.22E-05,2.38E-05,6.13E-06,2.38E-05,3.96E-06
96db,70_70,20411-3,1,6.53E-06,5.88E-06,1.31147541,11.2295082,9.15E-06,8.61E-06,2.131147541,12.04918033,7.12E-06,6.94E-06,2.868852459,12.78688525,4.07E-06,4.06E-06,4.098360656,14.05737705,2.41E-06,2.63E-06,5,14.91803279,0.000133287,0.000233302,8.55E-05,0.000291623,0.000522496,0.000173768,0.000190573,0.000178747,3.20E-05,9.31E-05,0.000116738,8.75E-05,7.49E-05,5.70E-05,4.50E-06,0.000157271,0.000226014,6.78E-05,0.000323248,0.000512681,0.000123582,0.000194271,0.000182768,3.13E-05,0.000100148,8.51E-05,5.57E-05,4.55E-05,4.64E-05,1.95E-05,3.03E-06,2.97E-06,1.31147541,11.18852459,9.00E-06,9.48E-06,2.090163934,11.96721311,4.09E-06,5.24E-06,2.786885246,12.70491803,1.86E-06,2.19E-06,3.93442623,13.85245902,7.98E-07,1.25E-06,5.040983607,14.91803279,6.20E-05,0.000118659,3.95E-05,0.000202397,0.00037363,0.000208341,0.000139385,0.000126505,4.51E-05,6.05E-05,6.08E-05,4.46E-05,3.13E-05,2.92E-05,1.22E-05,3.97E-05,0.000121154,7.79E-05,9.46E-05,0.00033685,0.000327629,0.000137226,0.000150549,9.31E-05,5.70E-05,6.68E-05,4.88E-05,2.63E-05,4.93E-05,3.62E-05
96db,70_90,20411-3,1,6.07E-06,1.08E-05,1.270491803,11.14754098,8.85E-06,1.16E-05,2.049180328,11.92622951,6.20E-06,9.26E-06,2.786885246,12.70491803,5.09E-06,6.74E-06,3.975409836,13.85245902,2.14E-06,2.18E-06,4.795081967,14.75409836,8.07E-05,0.000239191,0.000117775,0.000169455,0.000509882,0.000289369,0.000149632,0.000141423,4.33E-05,9.97E-05,0.000133848,9.13E-05,6.85E-05,4.81E-05,2.89E-05,0.000178726,0.000336857,5.89E-05,0.000485863,0.000788964,0.000241431,0.000103597,0.000104713,0.000128062,0.000146262,0.000126905,0.000109362,3.63E-05,3.05E-05,4.35E-05,2.29E-06,3.37E-06,1.229508197,11.10655738,8.24E-06,1.04E-05,2.008196721,11.8442623,3.99E-06,6.45E-06,2.663934426,12.58196721,1.50E-06,2.02E-06,3.729508197,13.60655738,4.40E-07,1.48E-06,5.573770492,14.59016393,1.42E-05,9.93E-05,6.19E-05,0.00016704,0.000329717,0.000207361,0.000139252,0.000107843,4.82E-05,6.10E-05,5.07E-05,4.26E-05,8.08E-06,9.30E-06,6.35E-06,3.93E-05,0.000165025,0.000105358,0.000210475,0.000490989,0.000290068,0.000153584,0.000216918,0.000123502,7.38E-05,8.72E-05,4.89E-05,6.71E-05,7.48E-05,3.24E-05
96db,90_90,20411-3,1,1.05E-05,8.98E-06,1.270491803,11.18852459,1.13E-05,8.56E-06,2.049180328,11.96721311,9.51E-06,1.01E-05,2.868852459,12.86885246,7.01E-06,4.17E-06,4.016393443,13.97540984,2.17E-06,2.82E-06,4.959016393,14.75409836,0.000227399,0.000278579,2.43E-05,0.000409452,0.000755532,0.000319901,0.000141512,0.000125772,0.000132098,0.000157805,0.000134047,0.000115187,7.57E-05,8.01E-05,4.63E-05,0.000163456,0.000225737,1.57E-05,0.000195402,0.000559689,0.000349009,0.000113324,0.000204295,0.000191524,8.06E-05,7.11E-05,5.68E-05,1.11E-05,3.33E-05,1.66E-05,3.05E-06,2.56E-06,1.229508197,11.14754098,9.79E-06,8.67E-06,1.967213115,11.8852459,6.11E-06,6.06E-06,2.745901639,12.70491803,1.58E-06,1.11E-06,3.81147541,13.81147541,1.22E-06,1.13E-06,4.87704918,14.79508197,6.27E-05,0.000160588,5.64E-05,0.000164483,0.000424675,0.00032807,7.71E-05,0.000168727,0.000155539,7.85E-05,7.50E-05,3.85E-05,6.69E-05,5.40E-05,2.11E-05,5.56E-05,0.000111601,5.19E-05,6.46E-05,0.000234602,0.000281849,0.000115355,0.000187486,0.000170796,4.78E-05,5.14E-05,2.28E-05,4.33E-05,5.54E-05,3.35E-05
96db,70_70,20412-1,1,4.00E-06,4.93E-06,1.229508197,11.10655738,9.79E-06,1.09E-05,2.008196721,11.92622951,6.22E-06,6.67E-06,2.704918033,12.62295082,2.78E-06,3.11E-06,3.852459016,13.81147541,9.78E-07,1.17E-06,4.87704918,14.75409836,6.85E-05,0.000219699,5.65E-05,0.000162411,0.000348558,0.000272788,0.000164954,0.000250212,0.000136901,7.30E-05,9.13E-05,8.36E-05,4.26E-05,3.97E-05,2.72E-06,7.50E-06,0.000202,0.00017404,0.000200869,0.000430052,0.000280095,0.000194915,0.000305491,0.000157868,8.16E-05,0.000126869,6.37E-05,4.42E-05,5.51E-05,1.71E-05,2.50E-06,2.93E-06,1.270491803,11.14754098,8.04E-06,8.98E-06,2.049180328,11.96721311,4.38E-06,4.87E-06,2.704918033,12.62295082,1.52E-06,2.04E-06,3.852459016,13.7704918,6.01E-07,6.88E-07,5,14.87704918,4.50E-05,0.000114293,2.08E-05,0.000156621,0.00028815,0.000196856,0.000143372,0.000174027,8.90E-05,2.14E-05,5.58E-05,4.66E-05,3.46E-05,2.72E-05,1.97E-05,2.02E-06,0.000101362,8.75E-05,0.000216832,0.000372288,0.000199116,0.000157224,0.000243599,0.00013529,2.11E-05,7.63E-05,7.35E-05,3.37E-05,4.41E-05,2.15E-05
96db,70_90,20412-1,1,4.11E-06,5.75E-06,1.18852459,11.06557377,1.06E-05,1.47E-05,1.967213115,11.8442623,6.67E-06,9.76E-06,2.663934426,12.5,2.78E-06,2.67E-06,3.770491803,13.64754098,1.05E-06,2.30E-06,5.655737705,14.71311475,2.33E-05,0.000195926,0.000103734,0.000143359,0.000363959,0.000322623,0.000194275,0.000283831,0.000130641,6.58E-05,0.00010289,9.12E-05,1.08E-05,2.15E-05,2.93E-05,4.28E-05,0.000312273,0.00016942,0.00031204,0.000638188,0.000376721,0.000202352,0.000452949,0.000221315,0.000129384,0.000142144,5.61E-05,5.38E-05,3.08E-05,2.75E-05,2.02E-06,2.93E-06,1.229508197,11.06557377,7.38E-06,1.08E-05,2.008196721,11.8442623,4.36E-06,7.48E-06,2.663934426,12.5,1.53E-06,4.40E-07,3.770491803,13.56557377,9.49E-07,1.19E-06,5.532786885,14.67213115,3.20E-06,9.73E-05,5.33E-05,0.000142981,0.000292848,0.000203528,0.000139437,0.000178876,8.71E-05,1.38E-05,5.31E-05,4.09E-05,2.01E-05,4.09E-05,3.46E-05,8.01E-06,0.000168341,0.000106788,0.000181073,0.000462017,0.000343152,0.000187872,0.000277371,0.00018044,2.84E-05,2.83E-05,1.58E-05,4.29E-05,6.37E-05,2.29E-05
96db,90_90,20412-1,1,4.28E-06,4.16E-06,1.18852459,11.10655738,1.22E-05,1.31E-05,1.967213115,11.8852459,8.62E-06,8.19E-06,2.663934426,12.58196721,1.90E-06,1.88E-06,3.770491803,13.68852459,2.04E-06,2.15E-06,4.87704918,14.75409836,0.000104279,0.000270017,4.41E-05,0.000278412,0.000528286,0.000314529,0.000269701,0.00031295,7.45E-05,0.000119156,0.000103358,3.97E-05,6.08E-05,4.19E-05,5.00E-05,8.31E-05,0.000248632,9.82E-05,0.000204255,0.000470655,0.000338784,0.000230607,0.000340132,0.000105907,0.000116477,0.000131614,5.23E-05,6.09E-05,3.53E-05,1.89E-05,2.56E-06,1.72E-06,1.18852459,11.10655738,9.72E-06,9.52E-06,1.967213115,11.92622951,7.41E-06,6.90E-06,2.663934426,12.62295082,1.58E-07,,3.68852459,,1.46E-06,1.10E-06,5.450819672,14.75409836,2.83E-05,0.00015177,4.93E-05,0.000175186,0.000394855,0.000284103,0.00017985,0.000186465,0.00011528,4.92E-05,2.62E-05,2.99E-06,3.18E-05,6.88E-05,3.39E-05,1.43E-05,9.48E-05,5.77E-05,0.00015207,0.000292008,0.000248006,0.000138121,0.000200388,0.000193372,,,,5.10E-05,5.93E-05,1.34E-05
96db,70_70,20412-2,1,6.61E-06,7.82E-06,1.229508197,11.14754098,8.27E-06,9.58E-06,1.967213115,11.8852459,6.03E-06,7.34E-06,2.704918033,12.58196721,2.17E-06,2.92E-06,3.81147541,13.68852459,5.17E-07,1.61E-06,4.959016393,14.54918033,8.12E-05,0.000228638,8.33E-05,0.000251159,0.000463864,0.000256149,0.000210287,0.000176323,6.80E-05,5.22E-05,6.93E-05,2.98E-05,3.21E-06,2.58E-05,2.17E-05,0.000125752,0.000291816,0.000109106,0.000339734,0.000599031,0.000236755,0.000186516,0.000261354,0.000113448,8.17E-05,9.20E-05,5.23E-05,4.85E-05,5.41E-05,1.96E-05,3.07E-06,3.43E-06,1.270491803,11.18852459,4.58E-06,5.38E-06,2.008196721,11.92622951,3.60E-06,5.65E-06,2.827868852,12.62295082,1.70E-06,1.42E-06,3.729508197,13.64754098,9.95E-07,5.65E-07,5.655737705,14.75409836,3.58E-05,9.75E-05,5.37E-05,6.96E-05,0.000262233,0.000153549,4.26E-05,2.52E-05,6.21E-05,7.70E-05,4.34E-05,8.66E-06,2.00E-05,2.26E-05,3.70E-06,6.98E-05,0.000140571,6.13E-05,0.000142195,0.000291698,0.000107731,0.000105784,8.31E-05,4.63E-05,7.27E-05,3.57E-05,1.99E-05,6.03E-05,2.79E-05,7.45E-06
96db,70_90,20412-2,1,5.94E-06,8.30E-06,1.18852459,11.06557377,8.36E-06,1.27E-05,1.926229508,11.76229508,6.41E-06,8.46E-06,2.62295082,12.45901639,2.02E-06,5.21E-06,3.647540984,13.52459016,1.51E-06,1.77E-06,5.614754098,15.57377049,2.48E-05,0.000217312,0.00011957,0.000281845,0.000470123,0.000182345,0.000209819,0.000183881,6.75E-05,7.16E-05,7.02E-05,4.00E-05,1.01E-06,4.03E-06,1.64E-05,9.59E-05,0.000361762,0.000149945,0.000181861,0.000731161,0.00045972,0.000142821,0.000248323,0.000132881,0.00015733,0.000163035,7.77E-05,4.01E-05,5.90E-05,3.26E-05,2.54E-06,4.48E-06,1.270491803,11.06557377,4.90E-06,5.45E-06,1.967213115,11.80327869,4.60E-06,8.71E-06,2.663934426,12.54098361,1.65E-06,1.04E-06,3.606557377,13.7295082,7.68E-07,3.98E-07,5.368852459,14.83606557,8.50E-05,0.000108168,8.43E-06,0.000106856,0.000250459,9.79E-05,8.79E-05,7.09E-05,4.96E-05,6.20E-05,4.12E-05,1.73E-05,2.75E-05,2.01E-05,4.67E-06,9.35E-05,0.000173481,1.33E-05,0.000150835,0.000222948,9.43E-05,8.10E-05,0.000153411,0.000195115,3.76E-05,5.79E-05,4.02E-05,9.71E-06,3.23E-05,1.95E-05
96db,90_90,20412-2,1,6.80E-06,6.93E-06,1.18852459,11.10655738,9.99E-06,1.12E-05,1.926229508,11.8442623,7.16E-06,7.74E-06,2.62295082,12.58196721,4.28E-06,4.19E-06,3.68852459,13.64754098,7.29E-07,1.01E-06,5.327868852,14.59016393,0.000156422,0.000284697,7.10E-06,0.000364074,0.000542974,0.000165396,0.000188313,0.000158303,6.91E-05,0.000103457,0.000136377,8.35E-05,2.15E-05,2.22E-05,4.29E-06,0.000141147,0.000291241,7.07E-05,0.000360493,0.00056339,0.000168854,0.000227019,0.000185782,5.32E-05,0.000133771,0.000134925,6.13E-05,5.45E-05,5.17E-05,2.00E-05,4.40E-06,3.36E-06,1.18852459,11.10655738,5.59E-06,4.70E-06,1.926229508,11.35245902,7.78E-06,9.32E-06,2.745901639,11.8442623,5.24E-07,3.38E-06,3.893442623,12.66393443,6.12E-07,4.82E-07,5.450819672,15,0.000113806,0.000158125,2.94E-05,0.000151483,0.000212127,8.23E-05,8.21E-05,0.000156782,0.000210551,1.66E-05,4.13E-05,1.43E-05,2.84E-05,4.50E-05,9.34E-06,0.000128586,0.000142577,3.48E-05,7.25E-05,9.23E-05,9.86E-05,9.85E-05,0.000135209,4.41E-05,5.99E-05,0.000157749,0.000200536,1.47E-05,2.42E-05,1.88E-05
96db,70_70,20412-3,1,3.65E-06,4.11E-06,1.18852459,11.10655738,1.08E-05,1.17E-05,2.008196721,11.8852459,6.84E-06,7.15E-06,2.704918033,12.62295082,1.30E-06,1.84E-06,3.81147541,13.7295082,4.70E-07,1.28E-06,4.918032787,14.75409836,1.92E-05,0.000171505,0.000177383,0.000301408,0.000483325,0.000204867,0.000242545,0.00027876,0.00011836,6.49E-05,8.69E-05,3.87E-05,2.51E-05,2.41E-05,3.15E-06,2.16E-05,0.00021843,0.000209029,0.000162096,0.000541018,0.000414656,0.000308162,0.000326659,0.000110574,6.90E-05,8.71E-05,2.33E-05,1.52E-05,1.52E-05,1.69E-05,3.99E-06,3.55E-06,1.147540984,11.06557377,7.90E-06,6.75E-06,1.926229508,11.8852459,8.93E-06,9.56E-06,2.663934426,12.66393443,1.36E-06,1.72E-06,3.93442623,13.89344262,5.32E-07,4.13E-07,4.754098361,15.08196721,7.83E-05,0.000239048,6.44E-05,0.000109461,0.000340687,0.000270753,0.000149264,0.000157551,0.00015518,6.34E-05,7.29E-05,1.42E-05,7.99E-05,7.64E-05,2.36E-05,9.91E-05,0.000199537,4.03E-05,4.27E-05,0.000242256,0.000265975,3.87E-05,0.000225879,0.000251808,9.97E-05,6.94E-05,3.28E-05,1.49E-05,2.73E-05,1.11E-05
96db,70_90,20412-3,1,3.43E-06,5.62E-06,1.229508197,11.06557377,1.10E-05,1.51E-05,2.008196721,11.8442623,6.54E-06,9.45E-06,2.745901639,12.58196721,1.42E-06,3.38E-06,3.852459016,13.7295082,6.44E-07,2.38E-06,4.918032787,14.79508197,3.07E-05,0.000221847,0.000109845,0.000196179,0.000480808,0.000335029,0.000260414,0.000244131,0.000105129,8.28E-05,8.11E-05,3.57E-05,2.43E-06,3.67E-05,1.06E-05,2.21E-05,0.0003166,0.000302702,8.18E-05,0.000600237,0.000612797,0.000307761,0.000359797,8.94E-05,0.000134913,0.000168018,6.60E-05,6.34E-05,5.60E-05,1.88E-05,2.93E-06,3.62E-06,1.229508197,11.06557377,6.51E-06,8.31E-06,1.967213115,11.80327869,6.39E-06,9.84E-06,2.663934426,12.5,1.26E-06,3.07E-06,3.68852459,13.7295082,1.20E-06,5.44E-07,5.450819672,15.36885246,4.64E-05,0.000117449,5.43E-05,0.000128254,0.00030576,0.000118788,0.000194437,0.000168905,9.30E-05,7.32E-05,6.46E-05,2.06E-05,2.61E-05,2.96E-05,1.87E-05,0.000158726,0.000218554,1.90E-05,0.000136386,0.000409352,0.000263035,0.000175233,0.00020068,0.000155322,7.28E-05,8.07E-05,5.51E-05,1.22E-05,2.67E-05,3.07E-06
96db,90_90,20412-3,1,3.70E-06,4.41E-06,1.147540984,11.06557377,1.37E-05,1.43E-05,1.926229508,11.8442623,8.90E-06,8.19E-06,2.62295082,12.54098361,2.13E-06,2.32E-06,3.729508197,13.64754098,1.41E-06,1.31E-06,5.491803279,14.67213115,1.55E-05,0.000260455,0.000143278,0.00026377,0.000566777,0.000340541,0.000284927,0.000300651,9.08E-05,0.000114411,9.39E-05,3.02E-05,3.06E-05,4.10E-05,9.04E-06,1.77E-05,0.000269084,0.000204297,0.000230394,0.000558055,0.000371403,0.000301279,0.000329243,5.15E-05,0.000111418,0.000129661,4.61E-05,6.44E-05,3.92E-05,1.90E-06,3.67E-06,2.92E-06,1.147540984,11.06557377,7.51E-06,6.66E-06,1.926229508,11.8442623,8.51E-06,9.22E-06,2.663934426,12.66393443,1.28E-06,2.64E-06,3.893442623,13.85245902,4.48E-07,6.09E-07,5.327868852,15,9.61E-05,0.000221033,3.31E-05,0.000165972,0.000343721,0.00018489,0.000139705,0.000132019,0.000175607,5.84E-05,7.40E-05,3.25E-05,1.64E-05,2.57E-05,7.00E-06,0.000113283,0.000183988,2.78E-05,4.17E-05,0.000186447,0.000267105,0.000112653,0.000244009,0.000178546,8.48E-05,8.11E-05,5.82E-05,1.40E-05,4.04E-05,1.92E-05
control,90_90,21075-4,1,8.36E-06,6.08E-06,1.270491803,11.14754098,8.07E-06,8.16E-06,1.926229508,11.8852459,1.54E-05,1.51E-05,2.745901639,12.66393443,2.90E-06,1.22E-06,3.893442623,14.01639344,2.81E-06,2.28E-06,4.631147541,14.50819672,0.000170546,5.19E-05,7.10E-05,0.000251452,0.000557345,0.000264388,0.000369269,0.000466602,0.000314427,7.39E-05,0.000107242,8.65E-05,6.80E-05,9.73E-05,6.68E-05,0.000195271,0.000120891,2.57E-06,0.000323924,0.00041237,0.000129463,0.000237883,0.000325579,0.000318403,0.000110978,0.00010183,2.03E-05,3.23E-05,5.42E-05,4.78E-05,8.38E-06,7.75E-06,1.352459016,11.2704918,5.87E-06,4.93E-06,2.049180328,11.96721311,5.61E-06,5.83E-06,2.868852459,12.78688525,4.33E-06,2.86E-06,3.93442623,13.97540984,3.27E-06,3.08E-06,4.713114754,14.63114754,0.000147875,0.000175123,0.000139796,0.000229436,0.000359684,0.000105626,0.000165294,0.000217129,0.000127779,8.65E-05,0.000115185,9.28E-05,3.03E-05,5.72E-05,5.84E-05,0.0001463,0.00015094,0.000100929,0.000189747,0.000414077,0.000190335,0.000130122,0.000251233,0.000181702,7.25E-05,5.40E-05,3.91E-05,6.33E-06,3.99E-05,4.42E-05
control,90_90,21075-4,2,8.72E-06,6.23E-06,1.270491803,11.14754098,8.35E-06,7.86E-06,1.926229508,11.8852459,1.65E-05,1.53E-05,2.745901639,12.66393443,2.54E-06,1.32E-06,3.893442623,14.01639344,2.42E-06,2.64E-06,4.631147541,14.46721311,0.000182323,5.39E-05,6.63E-05,0.00023783,0.000568675,0.000288692,0.000350965,0.000470966,0.000338841,6.34E-05,0.000101252,8.66E-05,6.14E-05,9.65E-05,6.93E-05,0.000197777,0.00012602,4.65E-06,0.000310275,0.000423607,0.000151299,0.000234228,0.000325716,0.000331298,0.000104787,0.000100588,3.06E-05,6.10E-06,4.34E-05,5.42E-05,8.77E-06,8.55E-06,1.393442623,11.31147541,5.86E-06,5.11E-06,2.090163934,12.00819672,6.03E-06,6.56E-06,2.868852459,12.82786885,4.62E-06,3.35E-06,3.975409836,14.01639344,3.57E-06,2.87E-06,4.754098361,14.67213115,0.000154203,0.000183356,0.000148497,0.000275149,0.000337349,4.51E-05,0.000120643,0.000227621,0.000172985,0.000103069,0.000114105,7.93E-05,2.27E-05,5.55E-05,6.40E-05,0.000145507,0.000161599,0.00012915,0.000252307,0.000417046,0.000129266,0.00018159,0.000268726,0.000162283,6.44E-05,5.61E-05,5.49E-05,1.16E-05,4.07E-05,4.42E-05
